dataset,method,routing_mode,feedback_mode,model,protocol,task_type,scope,query_split,corpus_scope,corpus_sampling,num_queries,num_skipped_no_gt,gt_query_coverage,num_corpus_chunks,num_total_corpus_chunks,top_k,metric_ks,num_seeds,seeds,epochs,dense_depth,bm25_depth,cluster_depth,dense_lite_depth,bm25_lite_depth,dense_floor_k,dense_lite_floor_k,high_confidence_threshold,mid_confidence_threshold,drift_threshold,confidence_feedback_floor,avg_bm25_candidates_mean,avg_cluster_candidates_mean,avg_confidence_mean,avg_dense_candidates_mean,avg_observed_feedback_reward_mean,avg_semantic_drift_mean,avg_source_candidate_cost_mean,avg_true_feedback_reward_mean,avg_union_candidate_chunks_mean,bm25_query_rate_mean,cross_arm_update_weight_mean,dense_query_rate_mean,epoch_confidence_gain_mean,epoch_hit_rate_gain_mean,epoch_source_cost_delta_mean,epoch_true_reward_gain_mean,epochs_mean,final_effective_alpha_mean,first_window_source_cost_mean,first_window_true_reward_mean,full_dense_fallback_rate_mean,full_multi_route_rate_mean,hybrid_lite_rate_mean,last_epoch_confidence_mean,last_epoch_hit_rate_mean,last_epoch_lite_route_rate_mean,last_epoch_source_cost_mean,last_epoch_true_reward_mean,last_window_source_cost_mean,last_window_true_reward_mean,linucb_primary_rate_mean,mrr@10_mean,mrr@10_std,mrr@1_mean,mrr@1_std,mrr@5_mean,mrr@5_std,n_effective_arms_mean,ndcg@10_mean,ndcg@10_std,ndcg@1_mean,ndcg@1_std,ndcg@5_mean,ndcg@5_std,num_interactions_mean,num_queries_mean,num_skipped_no_gt_mean,propagated_updates_mean,recall@10_mean,recall@10_std,recall@1_mean,recall@1_std,recall@5_mean,recall@5_std,selected_cluster_hit_rate_mean,soft_fused_hit_rate_mean,total_feedback_updates_mean,total_update_weight_mean,window_source_cost_delta_mean,window_true_reward_gain_mean,elapsed_sec,notes
banking77,linucb_cost_full_multi_route,full_multi_route,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,intent_retrieval_proxy,heldout_test,test,full,first,3080,0,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,100.0,100.0,0.7971746460937853,100.0,0.8702380952380953,0.340723560835755,300.0,0.9338023088023087,177.23347763347763,1.0,4122.806642898621,1.0,0.19699738682253617,-0.0006493506493506404,0.0,0.1317099567099567,3.0,0.3,300.0,0.21999999999999997,0.0,1.0,0.0,0.8725025417545872,0.9844155844155845,0.0,300.0,0.9805194805194805,300.0,0.9866666666666667,0.0,0.94215990689205,0.00011391222686885346,0.9204545454545454,0.0,0.9401461038961041,0.0,32.0,0.8789457290299008,0.0002750729905606834,0.9204545454545454,0.0,0.8996290465746148,0.0,9240.0,3080.0,0.0,83160.0,0.9844155844155845,0.0007952888775269949,0.9204545454545454,0.0,0.9701298701298701,1.1102230246251565e-16,0.9762265512265512,0.9845598845598845,110880.0,25645.3066428974,0.0,0.7666666666666667,777.893,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,linucb_cost_full_multi_route,full_multi_route,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,intent_retrieval_proxy,sample,test,full,first,1000,0,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,100.0,100.0,0.7359185552781445,100.0,0.8397777777777776,0.39990733843369203,300.0,0.8514444444444443,190.7341111111111,1.0,1388.1551259882751,1.0,0.2815440935169833,0.0020000000000000018,0.0,0.2863333333333334,3.0,0.3,300.0,0.27999999999999997,0.0,1.0,0.0,0.8493963092114359,0.9863333333333334,0.0,300.0,0.9583333333333334,300.0,0.9866666666666667,0.0,0.9420701058201058,0.00020517096801512763,0.919,0.0,0.9400000000000001,1.1102230246251565e-16,32.0,0.8765430031958873,0.001262692268208091,0.919,0.0,0.8991563638452198,0.0,3000.0,1000.0,0.0,27000.0,0.9863333333333334,0.0012472191289246482,0.919,0.0,0.972,0.0,0.9124444444444445,0.9853333333333333,36000.0,8383.405125988293,0.0,0.7066666666666667,232.506,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
banking77,linucb_cost_full_multi_route,full_multi_route,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,intent_retrieval_proxy,sample,test,full,first,200,0,1.0,10003,10003,10,"1,5,10",1,13,2,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,100.0,100.0,0.6324098573420396,100.0,0.785,0.5534460988873616,300.0,0.6125,207.13,1.0,200.97633307248,1.0,0.10583522872922402,0.0,0.0,0.0050000000000000044,2.0,0.3,300.0,0.62,0.0,1.0,0.0,0.6853274717066516,0.99,0.0,300.0,0.615,300.0,0.58,0.0,0.9505,0.0,0.93,0.0,0.9496666666666667,0.0,32.0,0.912945199049839,0.0,0.93,0.0,0.9172031936906264,0.0,400.0,200.0,0.0,3600.0,0.99,0.0,0.93,0.0,0.985,0.0,0.76,0.99,4800.0,1146.7263330724852,0.0,-0.040000000000000036,28.089,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
banking77,linucb_cost_gated_cost_aware,gated_cost_aware,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,intent_retrieval_proxy,heldout_test,test,full,first,3080,0,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,21.255411255411257,100.0,0.8000194051491731,21.255411255411257,0.870923520923521,0.3468605571785945,142.51082251082252,0.9388167388167389,111.94779942279943,1.0,4130.171087134284,1.0,0.18244652132520137,0.0015151515151515065,-7.341991341991341,0.11158008658008656,3.0,0.3,272.26666666666665,0.25333333333333335,0.015692640692640692,0.0,0.9843073593073592,0.8700185795568266,0.9812770562770563,0.9998917748917749,140.017316017316,0.9783549783549783,140.0,0.9933333333333333,0.0,0.9423550556586274,7.61280691391308e-05,0.9204545454545454,0.0,0.9413365800865803,2.897254401908301e-05,32.0,0.874907952034958,0.0008321009026572795,0.9204545454545454,0.0,0.8955036829641821,0.0005264389946974499,9240.0,3080.0,0.0,83160.0,0.9812770562770563,0.0004049412756248831,0.9204545454545454,0.0,0.9738095238095239,0.00015305341584122446,0.9753968253968254,0.9808080808080808,110880.0,25652.67108713325,-132.26666666666668,0.7400000000000001,1565.458,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,linucb_cost_gated_cost_aware,gated_cost_aware,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,intent_retrieval_proxy,sample,test,full,first,1000,0,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,23.13777777777778,100.0,0.7583370077600696,23.13777777777778,0.8487777777777779,0.42553671565041357,146.27555555555554,0.8678888888888889,119.22744444444443,1.0,1391.2942663212104,1.0,0.22771503273008695,0.0006666666666666673,-16.266666666666662,0.19566666666666666,3.0,0.3,232.79999999999998,0.3133333333333333,0.03922222222222222,0.0,0.9607777777777778,0.8464249404477028,0.9816666666666668,0.9950000000000001,140.79999999999998,0.9406666666666667,140.0,0.96,0.0,0.9420834656084657,0.0011025637003900448,0.919,0.0,0.9409611111111112,0.0010833190882254058,32.0,0.8272229484150655,0.03919969233602114,0.919,0.0,0.870432342597779,0.02526864246228666,3000.0,1000.0,0.0,27000.0,0.9816666666666668,0.003299831645537225,0.919,0.0,0.9736666666666666,0.0030912061651652374,0.9266666666666667,0.981,36000.0,8386.544266321283,-92.8,0.6466666666666666,445.662,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
banking77,linucb_cost_gated_cost_aware,gated_cost_aware,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,intent_retrieval_proxy,sample,test,full,first,200,0,1.0,10003,10003,10,"1,5,10",1,13,2,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,25.4,100.0,0.711162361207214,25.4,0.8275,0.5452907276339829,150.8,0.775,124.885,1.0,200.79679137963214,1.0,0.13663928135155745,0.0,-4.0,0.030000000000000027,2.0,0.3,184.8,0.66,0.0675,0.0,0.9325,0.7794820018829927,0.99,0.945,148.8,0.79,143.2,0.76,0.0,0.9526666666666667,0.0,0.93,0.0,0.9526666666666667,0.0,32.0,0.7477171170716842,0.0,0.93,0.0,0.8234321862498457,0.0,400.0,200.0,0.0,3600.0,0.99,0.0,0.93,0.0,0.99,0.0,0.7925,0.99,4800.0,1146.5467913796408,-41.60000000000002,0.09999999999999998,38.281,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
cuad,linucb_cost_full_multi_route,full_multi_route,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,79,21,1.0,10000,675400,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,100.0,100.0,0.3088939157243084,100.0,0.48888888888888893,0.8274854539831479,300.0,0.014444444444444446,268.30111111111114,1.0,123.45772358649886,1.0,0.02367474238508079,0.006666666666666664,0.0,0.016666666666666666,3.0,0.3,300.0,0.013333333333333334,0.0,1.0,0.0,0.3117127596719583,0.07,0.0,300.0,0.023333333333333334,300.0,0.02,0.0,0.03484863706382693,0.0008202732398932371,0.02531645569620253,0.0,0.028481012658227847,0.0,32.0,0.03879134923883059,0.0018383030764355193,0.02531645569620253,0.0,0.028659090159146725,0.0,300.0,79.0,21.0,2700.0,0.08860759493670885,0.01033539975857881,0.02531645569620253,0.0,0.0379746835443038,0.0,0.27555555555555555,0.06888888888888889,3600.0,820.4577235864975,0.0,0.006666666666666667,100.594,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
cuad,linucb_cost_gated_cost_aware,gated_cost_aware,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,79,21,1.0,10000,675400,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,51.73333333333333,100.0,0.3100211702072742,51.73333333333333,0.48888888888888893,0.8160628161537978,203.46666666666667,0.013333333333333334,187.54555555555558,1.0,123.01058370382852,1.0,0.026655508801219068,0.003333333333333334,-26.666666666666657,0.013333333333333334,3.0,0.3,239.20000000000002,0.013333333333333334,0.39666666666666667,0.0,0.6033333333333334,0.3146935260880966,0.05000000000000001,0.67,192.80000000000004,0.02,189.0666666666667,0.02666666666666667,0.0,0.032405733038644434,0.0030491684927990937,0.02531645569620253,0.0,0.029676511954992966,0.0010383138579629688,32.0,0.034226526245267765,0.004204196695558567,0.02531645569620253,0.0,0.02989269685660984,0.00263593921527259,300.0,79.0,21.0,2700.0,0.06329113924050633,0.020670799517157622,0.02531645569620253,0.0,0.042194092827004225,0.005967145832797869,0.27111111111111114,0.044444444444444446,3600.0,820.010583703826,-50.13333333333335,0.01333333333333333,125.534,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
emanual,linucb_cost_full_multi_route,full_multi_route,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,evidence_retrieval,heldout_test,test,full,first,130,2,1.0,18812,18812,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,100.0,100.0,0.3027553150754961,100.0,0.5033670033670034,0.8340995986091432,300.0,0.04713804713804714,259.5277777777778,1.0,161.90106110316606,1.0,0.08614885862996625,0.005050505050505055,0.0,0.01515151515151515,3.0,0.3,300.0,0.03333333333333333,0.0,1.0,0.0,0.3380256911987067,0.1464646464646465,0.0,300.0,0.05555555555555556,300.0,0.04,0.0,0.034194139194139196,0.00018562632228950722,0.0,0.0,0.026794871794871795,0.0,32.0,0.02552669297984041,0.0010523386405471356,0.0,0.0,0.01537723682334962,0.0,396.0,130.0,2.0,3564.0,0.14871794871794874,0.0036261886214694746,0.0,0.0,0.0846153846153846,1.3877787807814457e-17,0.24663299663299662,0.1447811447811448,4752.0,1096.6510611031715,0.0,0.006666666666666667,74.912,
emanual,linucb_cost_gated_cost_aware,gated_cost_aware,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_cost_aware_feedback,evidence_retrieval,heldout_test,test,full,first,130,2,1.0,18812,18812,10,"1,5,10",3,13|17|19,3,100,100,100,20,20,5,2,1.1,0.25,1.1,6.0,57.03703703703704,100.0,0.3084913045115101,57.03703703703704,0.5117845117845118,0.8266696359731746,214.0740740740741,0.06481481481481481,190.13468013468014,1.0,161.10265898061886,1.0,0.09822683136612194,0.005050505050505055,-44.04040404040404,0.032828282828282825,3.0,0.3,250.9333333333333,0.03333333333333333,0.46296296296296297,0.0,0.5370370370370371,0.3516324940622524,0.11363636363636365,0.6616161616161617,194.14141414141417,0.08080808080808081,184.79999999999998,0.07333333333333333,0.0,0.026794871794871795,0.003947424277176038,0.0,0.0,0.020085470085470087,0.0043819571755926824,32.0,0.018635292414148002,0.0028357150312818893,0.0,0.0,0.012425801893005463,0.003406946210630901,396.0,130.0,2.0,3564.0,0.11538461538461538,0.016617283842071437,0.0,0.0,0.06410256410256411,0.019187986598840724,0.26851851851851855,0.11195286195286196,4752.0,1095.8526589806218,-66.13333333333333,0.04,107.452,
