dataset,scale,protocol_group,bm25,dense,hybrid_rrf,intentroute_top10,geometry,cross_fitted_budget,final_context_tokens,paired_statistics,feedback_control,feedback_recovery,coverage,status
LoTTE technology/search,100k,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_reusable_anchor
LoTTE science/search,100k,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_reusable_anchor
LoTTE science/search,200k,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_reusable_anchor
LoTTE science/search,400k,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_scale_boundary
LoTTE lifestyle/search,100k,post_task69_expansion,no,no,no,no,no,no,no,no,no,no,0/10,deferred_post_task69
LoTTE recreation/search,100k,post_task69_expansion,no,no,no,no,no,no,no,no,no,no,0/10,deferred_post_task69
LoTTE writing/search,100k,post_task69_expansion,no,no,no,no,no,no,no,no,no,no,0/10,deferred_post_task69
PubMedQA,native full,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_native_full
CovidQA-RAG,native full,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_native_full
eManual deduplicated,native full,common_evidence,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10/10,complete_corrected_boundary
CUAD GT-anchored sample,10k sample,boundary_only,yes,yes,yes,yes,yes,no,no,no,yes,no,6/10,boundary_not_poolable
Banking77,native full,mechanism_only,yes,yes,yes,yes,yes,no,no,no,yes,no,6/10,mechanism_not_poolable
