method_scope,field,judge_left,judge_right,n,raw_agreement,cohen_kappa,left_positive_rate,right_positive_rate
all_methods,is_correct,deepseek-v4-flash,glm-5.2,1200,0.9008333333333334,0.5183681178581551,0.8983333333333333,0.8691666666666666
all_methods,is_correct,deepseek-v4-flash,minimax-m3,1200,0.9016666666666666,0.5472335200675311,0.8983333333333333,0.855
all_methods,is_correct,glm-5.2,minimax-m3,1200,0.9175,0.6532034889830803,0.8691666666666666,0.855
all_methods,is_faithful,deepseek-v4-flash,glm-5.2,1200,0.9033333333333333,0.33076923076923137,0.9166666666666666,0.9266666666666666
all_methods,is_faithful,deepseek-v4-flash,minimax-m3,1200,0.9233333333333333,0.4,0.9166666666666666,0.9466666666666667
all_methods,is_faithful,glm-5.2,minimax-m3,1200,0.9316666666666666,0.4250186985789082,0.9266666666666666,0.9466666666666667
all_methods,citations_supported,deepseek-v4-flash,glm-5.2,1200,0.8741666666666666,0.33022843202483915,0.8783333333333333,0.9125
all_methods,citations_supported,deepseek-v4-flash,minimax-m3,1200,0.8958333333333334,0.39698007622171905,0.8783333333333333,0.9325
all_methods,citations_supported,glm-5.2,minimax-m3,1200,0.91,0.3714535137494547,0.9125,0.9325
dense_sent_mmr_r0.85_l0.70,is_correct,deepseek-v4-flash,glm-5.2,300,0.9,0.5383194829178211,0.89,0.8633333333333333
dense_sent_mmr_r0.85_l0.70,is_correct,deepseek-v4-flash,minimax-m3,300,0.8966666666666666,0.5599091425326519,0.89,0.84
dense_sent_mmr_r0.85_l0.70,is_correct,glm-5.2,minimax-m3,300,0.9233333333333333,0.6968898260411176,0.8633333333333333,0.84
dense_sent_mmr_r0.85_l0.70,is_faithful,deepseek-v4-flash,glm-5.2,300,0.9133333333333333,0.4120307553143373,0.91,0.93
dense_sent_mmr_r0.85_l0.70,is_faithful,deepseek-v4-flash,minimax-m3,300,0.9333333333333333,0.5302959135744479,0.91,0.9366666666666666
dense_sent_mmr_r0.85_l0.70,is_faithful,glm-5.2,minimax-m3,300,0.94,0.5179432244242098,0.93,0.9366666666666666
dense_sent_mmr_r0.85_l0.70,citations_supported,deepseek-v4-flash,glm-5.2,300,0.8733333333333333,0.32167083184576906,0.87,0.9233333333333333
dense_sent_mmr_r0.85_l0.70,citations_supported,deepseek-v4-flash,minimax-m3,300,0.9066666666666666,0.4722955145118733,0.87,0.9366666666666666
dense_sent_mmr_r0.85_l0.70,citations_supported,glm-5.2,minimax-m3,300,0.9066666666666666,0.2836431860822108,0.9233333333333333,0.9366666666666666
intentweight_sent_mmr_r0.85_l0.70_seed19,is_correct,deepseek-v4-flash,glm-5.2,300,0.9,0.4920993227990972,0.9133333333333333,0.8666666666666667
intentweight_sent_mmr_r0.85_l0.70_seed19,is_correct,deepseek-v4-flash,minimax-m3,300,0.9066666666666666,0.5510902094912352,0.9133333333333333,0.8533333333333334
intentweight_sent_mmr_r0.85_l0.70_seed19,is_correct,glm-5.2,minimax-m3,300,0.92,0.6678966789667897,0.8666666666666667,0.8533333333333334
intentweight_sent_mmr_r0.85_l0.70_seed19,is_faithful,deepseek-v4-flash,glm-5.2,300,0.9,0.19700214132762436,0.9266666666666666,0.94
intentweight_sent_mmr_r0.85_l0.70_seed19,is_faithful,deepseek-v4-flash,minimax-m3,300,0.93,0.2924528301886804,0.9266666666666666,0.97
intentweight_sent_mmr_r0.85_l0.70_seed19,is_faithful,glm-5.2,minimax-m3,300,0.9366666666666666,0.2669753086419754,0.94,0.97
intentweight_sent_mmr_r0.85_l0.70_seed19,citations_supported,deepseek-v4-flash,glm-5.2,300,0.85,0.18181818181818177,0.88,0.9166666666666666
intentweight_sent_mmr_r0.85_l0.70_seed19,citations_supported,deepseek-v4-flash,minimax-m3,300,0.8933333333333333,0.3930197268588768,0.88,0.9266666666666666
intentweight_sent_mmr_r0.85_l0.70_seed19,citations_supported,glm-5.2,minimax-m3,300,0.8966666666666666,0.284615384615385,0.9166666666666666,0.9266666666666666
dense_llmlingua2_matched_sent_mmr,is_correct,deepseek-v4-flash,glm-5.2,300,0.8833333333333333,0.4667885435709934,0.88,0.87
dense_llmlingua2_matched_sent_mmr,is_correct,deepseek-v4-flash,minimax-m3,300,0.8966666666666666,0.5384157236450268,0.88,0.8633333333333333
dense_llmlingua2_matched_sent_mmr,is_correct,glm-5.2,minimax-m3,300,0.9,0.5673492933371792,0.87,0.8633333333333333
dense_llmlingua2_matched_sent_mmr,is_faithful,deepseek-v4-flash,glm-5.2,300,0.8733333333333333,0.2524590163934427,0.8966666666666666,0.9166666666666666
dense_llmlingua2_matched_sent_mmr,is_faithful,deepseek-v4-flash,minimax-m3,300,0.91,0.3820567592310043,0.8966666666666666,0.9466666666666667
dense_llmlingua2_matched_sent_mmr,is_faithful,glm-5.2,minimax-m3,300,0.9166666666666666,0.3478260869565214,0.9166666666666666,0.9466666666666667
dense_llmlingua2_matched_sent_mmr,citations_supported,deepseek-v4-flash,glm-5.2,300,0.87,0.3099787685774943,0.88,0.91
dense_llmlingua2_matched_sent_mmr,citations_supported,deepseek-v4-flash,minimax-m3,300,0.8733333333333333,0.2578124999999996,0.88,0.9333333333333333
dense_llmlingua2_matched_sent_mmr,citations_supported,glm-5.2,minimax-m3,300,0.9033333333333333,0.33179723502304115,0.91,0.9333333333333333
intentroute_llmlingua2_matched_sent_mmr_seed19,is_correct,deepseek-v4-flash,glm-5.2,300,0.92,0.581444018137426,0.91,0.8766666666666667
intentroute_llmlingua2_matched_sent_mmr_seed19,is_correct,deepseek-v4-flash,minimax-m3,300,0.9066666666666666,0.5381062355658198,0.91,0.8633333333333333
intentroute_llmlingua2_matched_sent_mmr_seed19,is_correct,glm-5.2,minimax-m3,300,0.9266666666666666,0.6759304723558873,0.8766666666666667,0.8633333333333333
intentroute_llmlingua2_matched_sent_mmr_seed19,is_faithful,deepseek-v4-flash,glm-5.2,300,0.9266666666666666,0.46078431372549,0.9333333333333333,0.92
intentroute_llmlingua2_matched_sent_mmr_seed19,is_faithful,deepseek-v4-flash,minimax-m3,300,0.92,0.35714285714285704,0.9333333333333333,0.9333333333333333
intentroute_llmlingua2_matched_sent_mmr_seed19,is_faithful,glm-5.2,minimax-m3,300,0.9333333333333333,0.5098039215686276,0.92,0.9333333333333333
intentroute_llmlingua2_matched_sent_mmr_seed19,citations_supported,deepseek-v4-flash,glm-5.2,300,0.9033333333333333,0.4999999999999997,0.8833333333333333,0.9
intentroute_llmlingua2_matched_sent_mmr_seed19,citations_supported,deepseek-v4-flash,minimax-m3,300,0.91,0.4635761589403976,0.8833333333333333,0.9333333333333333
intentroute_llmlingua2_matched_sent_mmr_seed19,citations_supported,glm-5.2,minimax-m3,300,0.9333333333333333,0.5652173913043476,0.9,0.9333333333333333
