judge_model,method_label,valid_judgments,mean_correctness_score,mean_faithfulness_score,mean_relevance_score,mean_citation_support_score,is_correct_rate,is_faithful_rate,citations_supported_rate,unsupported_claims_rate
deepseek-v4-flash,dense_sent_mmr_r0.85_l0.70,300,4.596666666666667,4.733333333333333,4.85,4.57,0.89,0.91,0.87,0.09333333333333334
deepseek-v4-flash,intentweight_sent_mmr_r0.85_l0.70_seed19,300,4.66,4.79,4.85,4.6433333333333335,0.9133333333333333,0.9266666666666666,0.88,0.09
deepseek-v4-flash,dense_llmlingua2_matched_sent_mmr,300,4.546666666666667,4.673333333333333,4.83,4.583333333333333,0.88,0.8966666666666666,0.88,0.10666666666666667
deepseek-v4-flash,intentroute_llmlingua2_matched_sent_mmr_seed19,300,4.636666666666667,4.776666666666666,4.84,4.656666666666666,0.91,0.9333333333333333,0.8833333333333333,0.07
glm-5.2,dense_sent_mmr_r0.85_l0.70,300,4.476666666666667,4.703333333333333,4.8,4.583333333333333,0.8633333333333333,0.93,0.9233333333333333,0.10666666666666667
glm-5.2,intentweight_sent_mmr_r0.85_l0.70_seed19,300,4.49,4.75,4.8,4.63,0.8666666666666667,0.94,0.9166666666666666,0.06666666666666667
glm-5.2,dense_llmlingua2_matched_sent_mmr,300,4.5,4.696666666666666,4.74,4.59,0.87,0.9166666666666666,0.91,0.08666666666666667
glm-5.2,intentroute_llmlingua2_matched_sent_mmr_seed19,300,4.506666666666667,4.676666666666667,4.726666666666667,4.593333333333334,0.8766666666666667,0.92,0.9,0.09
minimax-m3,dense_sent_mmr_r0.85_l0.70,297,4.242424242424242,4.609427609427609,4.69023569023569,4.3872053872053876,0.8417508417508418,0.936026936026936,0.936026936026936,0.07407407407407407
minimax-m3,intentweight_sent_mmr_r0.85_l0.70_seed19,296,4.206081081081081,4.581081081081081,4.672297297297297,4.331081081081081,0.8547297297297297,0.972972972972973,0.9290540540540541,0.06418918918918919
minimax-m3,dense_llmlingua2_matched_sent_mmr,300,4.31,4.62,4.676666666666667,4.376666666666667,0.8633333333333333,0.9466666666666667,0.9333333333333333,0.07666666666666666
minimax-m3,intentroute_llmlingua2_matched_sent_mmr_seed19,300,4.273333333333333,4.63,4.65,4.36,0.8633333333333333,0.9333333333333333,0.9333333333333333,0.07
