query_id,method_label,judge_model,failure_attempts,failure_codes
lotte_technology_search_100k_q0,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q0,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q0,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q0,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q10,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q10,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q10,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q10,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q102,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q102,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q102,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q102,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q104,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q104,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q104,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q104,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q106,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q106,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q106,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q106,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q108,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q108,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q108,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q108,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q11,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q11,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q11,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q11,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q111,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q111,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q111,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q111,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q113,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q113,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q113,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q113,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q114,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q114,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q114,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q114,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q115,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q115,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q115,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q115,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q117,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q117,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q117,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q117,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q118,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q118,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q118,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q118,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q119,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q119,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q119,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q119,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q120,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q120,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q120,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q120,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q121,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q121,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q121,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q121,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q123,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q123,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q123,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q123,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q125,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q125,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q125,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q125,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q130,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q130,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q130,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q130,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q132,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q132,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q132,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q132,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q134,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q134,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q134,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q134,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q135,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q135,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q135,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q135,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q137,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q137,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q137,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q137,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q138,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q138,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q138,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q138,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q139,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q139,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q139,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q139,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q14,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q14,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q14,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q14,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q144,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q144,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q144,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q144,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q146,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
lotte_technology_search_100k_q146,dense_llmlingua2_matched_sent_mmr,minimax-m3,0,unrecorded
lotte_technology_search_100k_q146,intentroute_llmlingua2_matched_sent_mmr_seed19,glm-5.2,0,unrecorded
lotte_technology_search_100k_q146,intentroute_llmlingua2_matched_sent_mmr_seed19,minimax-m3,0,unrecorded
lotte_technology_search_100k_q149,dense_llmlingua2_matched_sent_mmr,glm-5.2,0,unrecorded
