dataset,evidence_recall_at_10_delta,hit_at_10_delta,method,phase_transition,query_blocks,route_true_reward_delta,seed,selected_cluster_hit_delta
lotte_science_search_100k,0.0,0.0,cluster_static_nearest,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_science_search_100k,0.0,0.0,cluster_static_nearest,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_science_search_100k,0.0,0.0,cluster_static_nearest,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_science_search_100k,0.075,0.05,cluster_cold_no_feedback,B_recurrent_shift_1_to_2,20,0.05,13,0.05
lotte_science_search_100k,0.0,0.05,cluster_cold_no_feedback,B_recurrent_shift_1_to_2,20,0.05,17,0.05
lotte_science_search_100k,-0.025,0.0,cluster_cold_no_feedback,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_science_search_100k,0.0125,0.0,cluster_equal_noisy,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_science_search_100k,0.06666666666666667,0.1,cluster_equal_noisy,B_recurrent_shift_1_to_2,20,0.05,17,0.05
lotte_science_search_100k,0.05,0.05,cluster_equal_noisy,B_recurrent_shift_1_to_2,20,0.05,19,0.05
lotte_science_search_100k,0.025,0.0,cluster_trust_weighted,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_science_search_100k,0.029166666666666667,0.05,cluster_trust_weighted,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_science_search_100k,-0.025,-0.05,cluster_trust_weighted,B_recurrent_shift_1_to_2,20,-0.05,19,-0.05
lotte_science_search_100k,0.0,0.0,cluster_oracle,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_science_search_100k,0.0,0.0,cluster_oracle,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_science_search_100k,0.0,0.0,cluster_oracle,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_technology_search_100k,0.0,0.0,cluster_static_nearest,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_technology_search_100k,0.0,0.0,cluster_static_nearest,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_technology_search_100k,0.0,0.0,cluster_static_nearest,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_technology_search_100k,-0.14404761904761904,-0.1,cluster_cold_no_feedback,B_recurrent_shift_1_to_2,20,-0.1,13,-0.1
lotte_technology_search_100k,-0.0275,0.05,cluster_cold_no_feedback,B_recurrent_shift_1_to_2,20,0.1,17,0.1
lotte_technology_search_100k,0.09662698412698413,0.2,cluster_cold_no_feedback,B_recurrent_shift_1_to_2,20,0.2,19,0.2
lotte_technology_search_100k,0.014285714285714285,0.0,cluster_equal_noisy,B_recurrent_shift_1_to_2,20,0.0,13,0.0
lotte_technology_search_100k,0.0,0.0,cluster_equal_noisy,B_recurrent_shift_1_to_2,20,0.0,17,0.0
lotte_technology_search_100k,0.0,0.0,cluster_equal_noisy,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_technology_search_100k,0.01,0.05,cluster_trust_weighted,B_recurrent_shift_1_to_2,20,0.05,13,0.05
lotte_technology_search_100k,0.0125,0.05,cluster_trust_weighted,B_recurrent_shift_1_to_2,20,0.05,17,0.05
lotte_technology_search_100k,0.0,0.0,cluster_trust_weighted,B_recurrent_shift_1_to_2,20,0.0,19,0.0
lotte_technology_search_100k,0.11428571428571428,0.15,cluster_oracle,B_recurrent_shift_1_to_2,20,0.15,13,0.15
lotte_technology_search_100k,0.315,0.35,cluster_oracle,B_recurrent_shift_1_to_2,20,0.35,17,0.35
lotte_technology_search_100k,0.20634920634920634,0.2,cluster_oracle,B_recurrent_shift_1_to_2,20,0.15,19,0.15
