dataset,scale,role,protocol,dense_hit@10,intentroute_hit@10,hit_delta_pp,evidence_recall_delta_pp,context_saving_percent,strict_ni_seeds,feedback_route_metric,artifact_status,source
LoTTE technology/search,100k,scale/full-stack,five-fold cross-fitted calibration,0.8674,0.8568,-1.06,-1.99,4.16,0/3,--,reusable complete anchor,paper/experiments/results/task65_6_cross_scale_cross_fitted_calibration.paired.csv
LoTTE technology/search,200k,scale/full-stack,five-fold cross-fitted calibration,0.7970,0.8110,1.40,-2.36,16.07,2/3,--,reusable complete anchor,paper/experiments/results/task65_6_cross_scale_cross_fitted_calibration.paired.csv
LoTTE technology/search,400k,scale/full-stack,five-fold cross-fitted calibration,0.7718,0.7718,0.00,-1.95,14.50,0/3,--,reusable complete anchor,paper/experiments/results/task65_6_cross_scale_cross_fitted_calibration.paired.csv
LoTTE technology/search,638k full,scale/full-stack,five-fold cross-fitted calibration,0.7282,0.7310,0.28,-1.94,15.23,0/3,--,reusable complete anchor,paper/experiments/results/task65_6_cross_scale_cross_fitted_calibration.paired.csv
LoTTE science/search,20k/q200,cross-domain diagnostic,fixed 30/70 calibration-test,0.8929,0.9095,1.67,-3.30,13.80,1/3,--,legacy fixed-split diagnostic,paper/experiments/results/task39_lotte_science_20k_q200_calibrated_context_budget.test_paired.csv
LoTTE science/search,100k,cross-domain,five-fold cross-fitted calibration,0.8926,0.8915,-0.11,-2.86,16.88,0/3,--,reusable complete cross-domain row,paper/experiments/results/task69_3_science_100k_cross_fitted_calibration.paired.csv
LoTTE science/search,200k,cross-domain scale,five-fold cross-fitted calibration,0.8574,0.8507,-0.67,-2.97,10.75,0/3,--,reusable complete cross-domain scale row,paper/experiments/results/task69_3_science_200k_cross_fitted_calibration.paired.csv
LoTTE science/search,400k,cross-domain scale boundary,five-fold cross-fitted calibration,0.8238,0.8171,-0.67,-1.12,3.15,0/3,--,complete boundary; recovery has 3-6 affected queries/seed,paper/experiments/results/task69_3_science_400k_cross_fitted_calibration.paired.csv
PubMedQA,native full,non-LoTTE evidence transfer,five-fold cross-fitted calibration,0.9930,0.9930,0.00,0.00,0.00,3/3,--,complete native-full transfer row,paper/experiments/results/task69_4_pubmedqa_cross_fitted_calibration.paired.csv
CovidQA-RAG,native full,biomedical discriminative transfer,five-fold cross-fitted calibration,0.6095,0.6074,-0.21,-0.49,8.34,0/3,--,complete native-full discriminative transfer row,paper/experiments/results/task69_5_covidqa_cross_fitted_calibration.paired.csv
Banking77,native full,intent-routing mechanism,"dataset=banking77|query_scope=split_test|corpus_scope=full|top_k=10|ks=1,5,10",0.9805,0.9844,0.39,--,--,--,0.9983,mechanism/boundary only,paper/experiments/results/linucb_trust_banking77_heldout-test_test_corpus-full_q3080_prequential_metrics.json
CUAD GT-anchored,10k sample,sparse-GT boundary,"dataset=cuad|query_scope=split_test_first_100|corpus_scope=gt_anchored_10000|top_k=10|ks=1,5,10",0.0759,0.0886,1.27,--,--,--,0.2900,mechanism/boundary only,paper/experiments/results/linucb_trust_cuad_prequential_metrics.json
eManual deduplicated,native full,corrected boundary,five-fold cross-fitted calibration on deduplicated text corpus,0.8615,0.8590,-0.26,-3.07,16.20,0/3,--,complete corrected-boundary row,paper/experiments/results/task69_4_emanual_dedup_cross_fitted_calibration.paired.csv
