dataset,method,feedback_mode,model,protocol,task_type,scope,query_split,corpus_scope,corpus_sampling,num_queries,num_skipped_no_gt,num_queries_with_gt,num_queries_with_gt_in_corpus,gt_query_coverage,num_corpus_chunks,num_total_corpus_chunks,top_k,metric_ks,num_seeds,seeds,epochs,n_clusters_requested,n_effective_arms_mean,context_dim_requested,candidate_arms,high_trust_prob,high_trust,low_trust,high_accuracy,low_accuracy,window_size,dense_depth,bm25_depth,cluster_depth,dense_weight,bm25_weight,cluster_weight,dense_floor_k,total_feedback_updates_mean,total_update_weight_mean,cross_arm_update_weight_mean,propagated_updates_mean,avg_local_boost_norm_mean,avg_memory_feedback_reward_mean,avg_observed_feedback_reward_mean,avg_selected_candidate_chunks_mean,avg_true_feedback_reward_mean,avg_union_candidate_chunks_mean,avg_user_trust_mean,bm25_fallback_hit_rate_mean,cluster_local_hit_rate_mean,dense_fallback_hit_rate_mean,epoch_selected_cluster_hit_gain_mean,epoch_soft_hit_gain_mean,epoch_true_reward_gain_mean,epochs_mean,feedback_alignment_rate_mean,final_effective_alpha_mean,first_epoch_selected_cluster_hit_rate_mean,first_epoch_soft_hit_rate_mean,first_epoch_true_reward_mean,first_window_selected_cluster_hit_rate_mean,first_window_soft_hit_rate_mean,first_window_true_reward_mean,last_epoch_selected_cluster_hit_rate_mean,last_epoch_soft_hit_rate_mean,last_epoch_true_reward_mean,last_window_selected_cluster_hit_rate_mean,last_window_soft_hit_rate_mean,last_window_true_reward_mean,mrr@10_mean,mrr@10_std,mrr@1_mean,mrr@1_std,mrr@5_mean,mrr@5_std,ndcg@10_mean,ndcg@10_std,ndcg@1_mean,ndcg@1_std,ndcg@5_mean,ndcg@5_std,num_interactions_mean,num_queries_mean,num_skipped_no_gt_mean,recall@10_mean,recall@10_std,recall@1_mean,recall@1_std,recall@5_mean,recall@5_std,selected_cluster_hit_rate_mean,soft_fused_hit_rate_mean,window_selected_cluster_hit_gain_mean,window_soft_hit_gain_mean,window_true_reward_gain_mean,elapsed_sec,notes
banking77,linucb_trust_equal_noisy,equal_noisy,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,heldout_test,test,full,first,3080,0,3080,3080,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,110880.0,33043.40721199044,5323.407211992192,83160.0,0.24809984699646695,0.8584054834054834,0.8584054834054834,983.9343434343433,0.9081529581529582,180.12481962481965,0.776424963924964,0.9698051948051948,0.9247835497835499,0.9805194805194807,0.08593073593073593,-0.0007575757575757717,0.16688311688311683,3.0,0.7963203463203463,0.3,0.9070346320346321,0.9846320346320345,0.7997835497835498,0.48666666666666664,0.9866666666666667,0.22,0.9929653679653679,0.9838744588744589,0.9666666666666667,0.9933333333333333,0.9933333333333333,0.96,0.9420808424379855,7.777977110755814e-05,0.9204545454545454,0.0,0.9401461038961041,0.0,0.8782117916311251,4.3765754806857525e-05,0.9204545454545454,0.0,0.8996290465746148,0.0,9240.0,3080.0,0.0,0.9838744588744589,0.0004049412756248831,0.9204545454545454,0.0,0.9701298701298701,1.1102230246251565e-16,0.9633477633477634,0.9840548340548341,0.5066666666666667,0.006666666666666672,0.7399999999999999,1026.673,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,linucb_trust_equal_noisy,equal_noisy,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,sample,test,full,first,1000,0,1000,1000,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,36000.0,10769.671329746752,1769.6713297466315,27000.0,0.21449406264726809,0.7925555555555555,0.7925555555555555,966.1292222222222,0.7293333333333333,204.67755555555559,0.77725,0.971,0.7771111111111111,0.9819999999999999,0.1603333333333333,-0.00033333333333333365,0.24,3.0,0.7958148148148148,0.3,0.7313333333333333,0.9846666666666667,0.5786666666666668,0.49333333333333335,0.9933333333333333,0.28,0.8916666666666666,0.9843333333333333,0.8186666666666667,0.9133333333333334,0.9933333333333333,0.8399999999999999,0.9417974867724866,0.0003207698412588913,0.919,0.0,0.9400000000000001,1.1102230246251565e-16,0.8752506490828836,0.0010552795778060702,0.919,0.0,0.8991563638452198,0.0,3000.0,1000.0,0.0,0.9843333333333333,0.0023570226039551605,0.919,0.0,0.972,0.0,0.8321111111111111,0.9844444444444443,0.42,0.0,0.5599999999999999,288.354,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
banking77,linucb_trust_none,none,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,heldout_test,test,full,first,3080,0,3080,3080,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.3862193362194,0.16915584415584417,250.67550505050505,0.0,0.9698051948051948,0.29188311688311686,0.9805194805194807,0.004329004329004349,0.00010822510822509439,-0.0005411255411255459,3.0,1.0,1.0,0.43463203463203465,0.9853896103896105,0.16655844155844157,0.45333333333333337,0.98,0.14666666666666667,0.438961038961039,0.9854978354978355,0.16601731601731604,0.4066666666666667,0.9866666666666667,0.18000000000000002,0.9423483560090705,0.00010159884445157082,0.9204545454545454,0.0,0.9401461038961041,0.0,0.8711493666434417,0.00023916316571569022,0.9204545454545454,0.0,0.8996290465746148,0.0,9240.0,3080.0,0.0,0.9854978354978355,0.0005518419387005489,0.9204545454545454,0.0,0.9701298701298701,1.1102230246251565e-16,0.4383838383838384,0.9853896103896105,-0.04666666666666667,0.006666666666666672,0.03333333333333333,271.309,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,linucb_trust_none,none,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,sample,test,full,first,1000,0,1000,1000,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.4908888888889,0.18288888888888888,251.83666666666667,0.0,0.971,0.29244444444444445,0.9819999999999999,-0.007666666666666673,-0.0006666666666666673,-0.012333333333333326,3.0,1.0,1.0,0.4463333333333333,0.9846666666666666,0.18966666666666665,0.43333333333333335,0.9933333333333333,0.15333333333333335,0.4386666666666667,0.984,0.17733333333333334,0.43999999999999995,0.98,0.16,0.9417706349206348,0.0001912805437301165,0.919,0.0,0.9400000000000001,1.1102230246251565e-16,0.8686943941994919,0.0011591930404127888,0.919,0.0,0.8991563638452198,0.0,3000.0,1000.0,0.0,0.984,0.0014142135623730965,0.919,0.0,0.972,0.0,0.44733333333333336,0.9842222222222222,0.006666666666666654,-0.013333333333333345,0.006666666666666664,103.202,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
banking77,linucb_trust_oracle,oracle,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,heldout_test,test,full,first,3080,0,3080,3080,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,110880.0,33035.69888442745,5315.698884429453,83160.0,0.31266241469853107,0.9635642135642136,0.9635642135642136,996.8807720057721,0.9635642135642136,173.15652958152955,1.0,0.9698051948051948,0.9655483405483406,0.9805194805194807,0.019155844155844187,0.00043290043290037755,0.054545454545454564,3.0,1.0,0.3,0.9797619047619047,0.9841991341991342,0.9273809523809523,0.6733333333333332,0.98,0.32,0.9989177489177489,0.9846320346320346,0.9819264069264069,1.0,0.9866666666666667,0.9666666666666667,0.9421880368308941,6.576166443681549e-05,0.9204545454545454,0.0,0.9401461038961041,0.0,0.8796589992028268,0.00012733619753065495,0.9204545454545454,0.0,0.8996290465746148,0.0,9240.0,3080.0,0.0,0.9846320346320346,0.0006671443726156947,0.9204545454545454,0.0,0.9701298701298701,1.1102230246251565e-16,0.9926046176046176,0.9844516594516595,0.3266666666666667,0.006666666666666672,0.6466666666666666,645.573,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,linucb_trust_oracle,oracle,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,sample,test,full,first,1000,0,1000,1000,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,36000.0,10797.822656624287,1797.8226566240335,27000.0,0.3084123660302653,0.9488888888888889,0.9488888888888889,993.5476666666667,0.9488888888888889,180.17999999999998,1.0,0.971,0.96,0.9819999999999999,0.04133333333333337,0.00033333333333333365,0.09099999999999997,3.0,1.0,0.3,0.9563333333333333,0.9853333333333333,0.8896666666666667,0.6066666666666667,0.9933333333333333,0.39999999999999997,0.9976666666666668,0.9856666666666666,0.9806666666666666,0.9933333333333333,0.98,0.9666666666666667,0.9419431216931216,0.00014706520289759178,0.919,0.0,0.9400000000000001,1.1102230246251565e-16,0.8798225349603473,0.0008585076548395421,0.919,0.0,0.8991563638452198,0.0,3000.0,1000.0,0.0,0.9856666666666666,0.0012472191289246482,0.919,0.0,0.972,0.0,0.9838888888888889,0.9855555555555555,0.38666666666666666,-0.013333333333333345,0.5666666666666667,197.047,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
banking77,linucb_trust_trust_weighted,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,heldout_test,test,full,first,3080,0,3080,3080,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,110880.0,25645.3066428974,4122.806642898621,83160.0,0.2053626435907234,0.7445616883116882,0.8702380952380953,982.3166305916305,0.9338023088023087,177.23347763347763,0.776424963924964,0.9698051948051948,0.9444083694083695,0.9805194805194807,0.06266233766233768,-0.0006493506493506404,0.1317099567099567,3.0,0.7963203463203463,0.3,0.9356060606060606,0.9850649350649351,0.8488095238095239,0.4266666666666667,0.9866666666666667,0.21999999999999997,0.9982683982683983,0.9844155844155845,0.9805194805194805,1.0,1.0,0.9866666666666667,0.94215990689205,0.00011391222686885346,0.9204545454545454,0.0,0.9401461038961041,0.0,0.8789457290299008,0.0002750729905606834,0.9204545454545454,0.0,0.8996290465746148,0.0,9240.0,3080.0,0.0,0.9844155844155845,0.0007952888775269949,0.9204545454545454,0.0,0.9701298701298701,1.1102230246251565e-16,0.9762265512265512,0.9845598845598845,0.5733333333333334,0.013333333333333345,0.7666666666666667,1409.697,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions.
banking77,linucb_trust_trust_weighted,trust_weighted,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,intent_retrieval_proxy,sample,test,full,first,1000,0,1000,1000,1.0,10003,10003,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,36000.0,8383.405125988293,1388.1551259882751,27000.0,0.18121007862679084,0.7021944444444443,0.8397777777777776,992.0243333333333,0.8514444444444443,190.7341111111111,0.77725,0.971,0.8752222222222222,0.9819999999999999,0.19566666666666666,0.0020000000000000018,0.2863333333333334,3.0,0.7958148148148148,0.3,0.7886666666666667,0.9843333333333333,0.672,0.4733333333333334,0.9866666666666667,0.27999999999999997,0.9843333333333334,0.9863333333333334,0.9583333333333334,1.0,0.9933333333333333,0.9866666666666667,0.9420701058201058,0.00020517096801512763,0.919,0.0,0.9400000000000001,1.1102230246251565e-16,0.8765430031958873,0.001262692268208091,0.919,0.0,0.8991563638452198,0.0,3000.0,1000.0,0.0,0.9863333333333334,0.0012472191289246482,0.919,0.0,0.972,0.0,0.9124444444444445,0.9853333333333333,0.5266666666666666,0.006666666666666672,0.7066666666666667,384.793,Intent retrieval proxy/domain routing; do not mix with evidence retrieval conclusions. Sampled query/corpus scope; use only with matching comparison group.
cuad,linucb_trust_equal_noisy,equal_noisy,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,79,21,79,79,1.0,10000,675400,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,3600.0,1059.0692344388297,159.0692344388294,2700.0,0.1280705600701512,0.48666666666666664,0.48666666666666664,911.9233333333333,0.006666666666666667,273.92333333333335,0.7744444444444444,0.04,0.024444444444444446,0.06,0.03999999999999999,-0.006666666666666672,-0.0033333333333333335,3.0,0.7922222222222222,0.3,0.20000000000000004,0.07,0.01,0.20666666666666667,0.10000000000000002,0.02,0.24,0.06333333333333334,0.006666666666666667,0.25333333333333335,0.06666666666666667,0.006666666666666667,0.03380383095572969,0.0008372814892445082,0.02531645569620253,0.0,0.028481012658227847,0.0,0.03600066664714963,0.0018365333319385353,0.02531645569620253,0.0,0.028659090159146725,0.0,300.0,79.0,21.0,0.08016877637130802,0.005967145832797869,0.02531645569620253,0.0,0.0379746835443038,0.0,0.2233333333333333,0.06555555555555555,0.04666666666666667,-0.03333333333333334,-0.013333333333333334,108.752,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
cuad,linucb_trust_none,none,sentence-transformers/all-MiniLM-L6-v2,prequential_repeated_feedback,evidence_retrieval,smoke_only,test,gt_anchored_10000,gt_anchored,79,21,79,79,1.0,10000,675400,10,"1,5,10",3,13|17|19,3,32,32.0,64,3,0.7,1.0,0.25,0.9,0.55,50,100,100,100,2.0,0.8,0.8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0033333333334,0.01,270.76666666666665,0.0,0.04,0.014444444444444446,0.06,0.016666666666666673,-0.013333333333333334,0.006666666666666667,3.0,1.0,1.0,0.22666666666666666,0.06666666666666667,0.006666666666666667,0.20666666666666667,0.09333333333333334,0.013333333333333334,0.24333333333333332,0.05333333333333334,0.013333333333333334,0.24,0.04,0.006666666666666667,0.03217634451811667,0.0020927988685480103,0.02531645569620253,0.0,0.028481012658227847,0.0,0.03352291165006213,0.0031776333408006156,0.02531645569620253,0.0,0.028659090159146725,0.0,300.0,79.0,21.0,0.06751054852320675,0.015787583910438573,0.02531645569620253,0.0,0.0379746835443038,0.0,0.2522222222222223,0.06333333333333334,0.03333333333333335,-0.05333333333333334,-0.006666666666666667,87.246,Sampled query/corpus scope; use only with matching comparison group. CUAD smoke/sample result; not a full-corpus held-out result. Corpus sample is GT-anchored: selected query GT chunks plus sampled distractors.
